view,id,name,district,category,type,pin,address,listingOrPerk,panelMeta,panelHeadline,panelBody,detailCopy,primaryActions,image,source
"Resident","legends-real-estate-202-nueces-st-1501","202 Nueces ST # 1501","2nd Street","Legends Real Estate / For Sale","property","Legends","202 Nueces ST # 1501, Austin TX, 78701","Verified Resident: Signature Priority Portfolio","Legends Real Estate / For Sale · 2nd Street","202 Nueces ST # 1501","Luxurious residence in downtown Austin with sweeping city views and premium finishes.","Resident perk: Verified Resident: Signature Priority Portfolio. Value: Verified Resident: Signature Priority Portfolio. Luxurious residence in downtown Austin with sweeping city views and premium finishes. Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","/images/properties/bowie-attached.jpg","Downtown Perks supplemental partner layer"
"Partner","legends-real-estate-202-nueces-st-1501","202 Nueces ST # 1501","2nd Street","Legends Real Estate / For Sale","property","Legends","202 Nueces ST # 1501, Austin TX, 78701","Create Property Plan","Legends Real Estate / For Sale · 2nd Street","202 Nueces ST # 1501","Luxurious residence in downtown Austin with sweeping city views and premium finishes.","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","/images/properties/bowie-attached.jpg","Downtown Perks supplemental partner layer"
"Resident","legends-real-estate-210-lavaca-st-1910","210 Lavaca ST # 1910","2nd Street","Legends Real Estate / For Sale","property","Legends","210 Lavaca ST # 1910, Austin TX, 78701","Investment Intelligence Portfolio","Legends Real Estate / For Sale · 2nd Street","210 Lavaca ST # 1910","Downtown Austin residence connected to the Legends Real Estate investment portfolio layer.","Resident perk: Investment Intelligence Portfolio. Value: Investment Intelligence Portfolio. Downtown Austin residence connected to the Legends Real Estate investment portfolio layer. Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","/images/properties/bowie-attached.jpg","Downtown Perks supplemental partner layer"
"Partner","legends-real-estate-210-lavaca-st-1910","210 Lavaca ST # 1910","2nd Street","Legends Real Estate / For Sale","property","Legends","210 Lavaca ST # 1910, Austin TX, 78701","Create Property Plan","Legends Real Estate / For Sale · 2nd Street","210 Lavaca ST # 1910","Downtown Austin residence connected to the Legends Real Estate investment portfolio layer.","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","/images/properties/bowie-attached.jpg","Downtown Perks supplemental partner layer"
"Resident","legends-real-estate-210-lavaca-st-2105","210 Lavaca ST # 2105","2nd Street","Legends Real Estate / For Sale","property","Legends","210 Lavaca ST # 2105, Austin TX, 78701","Dedicated Downtown Perks Concierge for Residents","Legends Real Estate / For Sale · 2nd Street","210 Lavaca ST # 2105","Ultra-exclusive residence at the W, featuring world-class amenities and skyline views.","Resident perk: Dedicated Downtown Perks Concierge for Residents. Value: Dedicated Downtown Perks Concierge for Residents. Ultra-exclusive residence at the W, featuring world-class amenities and skyline views. Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","/images/properties/bowie-attached.jpg","Downtown Perks supplemental partner layer"
"Partner","legends-real-estate-210-lavaca-st-2105","210 Lavaca ST # 2105","2nd Street","Legends Real Estate / For Sale","property","Legends","210 Lavaca ST # 2105, Austin TX, 78701","Create Property Plan","Legends Real Estate / For Sale · 2nd Street","210 Lavaca ST # 2105","Ultra-exclusive residence at the W, featuring world-class amenities and skyline views.","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","/images/properties/bowie-attached.jpg","Downtown Perks supplemental partner layer"
"Resident","legends-real-estate-360-nueces-st-4211","360 Nueces ST # 4211","2nd Street","Legends Real Estate / For Sale","property","Legends","360 Nueces ST # 4211, Austin TX, 78701","360 Sky Club Membership Included","Legends Real Estate / For Sale · 2nd Street","360 Nueces ST # 4211","Downtown Austin listing with skyline access and resident-connected neighborhood context.","Resident perk: 360 Sky Club Membership Included. Value: 360 Sky Club Membership Included. Downtown Austin listing with skyline access and resident-connected neighborhood context. Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","/images/properties/bowie-attached.jpg","Downtown Perks supplemental partner layer"
"Partner","legends-real-estate-360-nueces-st-4211","360 Nueces ST # 4211","2nd Street","Legends Real Estate / For Sale","property","Legends","360 Nueces ST # 4211, Austin TX, 78701","Create Property Plan","Legends Real Estate / For Sale · 2nd Street","360 Nueces ST # 4211","Downtown Austin listing with skyline access and resident-connected neighborhood context.","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","/images/properties/bowie-attached.jpg","Downtown Perks supplemental partner layer"
"Resident","acl-live-shop-node-3314239454","ACL Live Shop","2nd Street","Retail / Business","venue","Civic","310, West 2nd Street, Austin, TX, 78701","Nearby Downtown Option","Retail / Business · 2nd Street","ACL Live Shop","Retail / Business listing in Downtown Austin.","Resident perk: Nearby Downtown Option. Value: Save it or go now. Resident discount programs and neighborhood shopping incentives Use it: Save it, get directions, or show your Downtown Perks Card if access is available.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","acl-live-shop-node-3314239454","ACL Live Shop","2nd Street","Retail / Business","venue","Civic","310, West 2nd Street, Austin, TX, 78701","Create Map Plan","Retail / Business · 2nd Street","ACL Live Shop","Retail / Business listing in Downtown Austin.","Partner view: People nearby are deciding where to go next. Audience: Best fit: residents, guests, and visitors already close to 2nd Street. Opportunity: Make ACL Live Shop easy to save, find, and act on from the map. Best timing: Strongest window: lunch, after work, and weekend planning Next move: Create Map Plan","Create Map Plan; Reports; Contact","","OpenStreetMap / Overpass"
