building_id,title,subhead,body,facts,cta,secondaryActions
luxury-building-360-condominiums,360 Condominiums,3 active listings available,"Want to live here? 360 Condominiums has 3 active listings from $430,000 - $465,000, including 1 bedroom residences and 748-801 sq ft. Contact Legends Real Estate for availability, showing options, and nearby context residents can actually use.","$430,000 - $465,000 | 1 bedroom | 748-801 sq ft | MLS 6230337, MLS 8744546, MLS 1883893",Want To Live Here?,Contact Legends Real Estate | Directions | Save
luxury-building-seaholm-residences,Seaholm Residences,1 active listing available,"Want to live here? Seaholm Residences has 1 active listing from $575,000, including 1 bedroom residences and 821-821 sq ft. Contact Legends Real Estate for availability, showing options, and nearby context residents can actually use.","$575,000 | 1 bedroom | 821-821 sq ft | MLS 4683683",Want To Live Here?,Contact Legends Real Estate | Directions | Save
luxury-building-fifth-west,Fifth & West,1 active listing available,"Want to live here? Fifth & West has 1 active listing from $1,699,999, including 2 bedroom residences and 1,759-1,759 sq ft. Contact Legends Real Estate for availability, showing options, and nearby context residents can actually use.","$1,699,999 | 2 bedroom | 1,759-1,759 sq ft | MLS 3480432",Want To Live Here?,Contact Legends Real Estate | Directions | Save
luxury-building-the-independent,The Independent,1 active listing available,"Want to live here? The Independent has 1 active listing from $970,000, including 1 bedroom residences and 999-999 sq ft. Contact Legends Real Estate for availability, showing options, and nearby context residents can actually use.","$970,000 | 1 bedroom | 999-999 sq ft | MLS 1317826",Want To Live Here?,Contact Legends Real Estate | Directions | Save
luxury-building-spring-condominiums,Spring Condominiums,1 active listing available,"Want to live here? Spring Condominiums has 1 active listing from $1,195,000, including 2 bedroom residences and 1,687-1,687 sq ft. Contact Legends Real Estate for availability, showing options, and nearby context residents can actually use.","$1,195,000 | 2 bedroom | 1,687-1,687 sq ft | MLS 4131783",Want To Live Here?,Contact Legends Real Estate | Directions | Save
luxury-building-the-shore,The Shore,2 active listings available,"Want to live here? The Shore has 2 active listings from $2,425,500 - $5,582,000, including 3-4 bedroom residences and 1,951-3,818 sq ft. Contact Legends Real Estate for availability, showing options, and nearby context residents can actually use.","$2,425,500 - $5,582,000 | 3-4 bedroom | 1,951-3,818 sq ft | MLS 5357248, MLS 1682504",Want To Live Here?,Contact Legends Real Estate | Directions | Save
luxury-building-austin-proper-residences,Austin Proper Residences,1 active listing available,"Want to live here? Austin Proper Residences has 1 active listing from $2,995,000, including 2 bedroom residences and 1,646-1,646 sq ft. Contact Legends Real Estate for availability, showing options, and nearby context residents can actually use.","$2,995,000 | 2 bedroom | 1,646-1,646 sq ft | MLS 4043365",Want To Live Here?,Contact Legends Real Estate | Directions | Save
luxury-building-1212-guadalupe,1212 Guadalupe,1 active listing available,"Want to live here? 1212 Guadalupe has 1 active listing from $220,000, including 1 bedroom residences and 454-454 sq ft. Contact Legends Real Estate for availability, showing options, and nearby context residents can actually use.","$220,000 | 1 bedroom | 454-454 sq ft | MLS 3119350",Want To Live Here?,Contact Legends Real Estate | Directions | Save
luxury-building-44-east,44 East,1 active listing available,"Want to live here? 44 East has 1 active listing from $1,125,000, including 2 bedroom residences and 1,172-1,172 sq ft. Contact Legends Real Estate for availability, showing options, and nearby context residents can actually use.","$1,125,000 | 2 bedroom | 1,172-1,172 sq ft | MLS 8947667",Want To Live Here?,Contact Legends Real Estate | Directions | Save
luxury-building-milago,Milago,1 active listing available,"Want to live here? Milago has 1 active listing from $550,000, including 2 bedroom residences and 1,189-1,189 sq ft. Contact Legends Real Estate for availability, showing options, and nearby context residents can actually use.","$550,000 | 2 bedroom | 1,189-1,189 sq ft | MLS 9558786",Want To Live Here?,Contact Legends Real Estate | Directions | Save
luxury-building-brazos-place,Brazos Place,1 active listing available,"Want to live here? Brazos Place has 1 active listing from $335,000, including 1 bedroom residences and 623-623 sq ft. Contact Legends Real Estate for availability, showing options, and nearby context residents can actually use.","$335,000 | 1 bedroom | 623-623 sq ft | MLS 4696550",Want To Live Here?,Contact Legends Real Estate | Directions | Save
