id,name,map_status,image_source,image_url,image_attribution,google_place_id,google_photo_reference,google_places_status,qa_notes
omni-austin-hotel-downtown,Omni Austin Hotel Downtown,matched_current_map,existing_map,/images/fallbacks/hotel.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
voodoo-doughnut,Voodoo Doughnut,needs_review_missing_coordinates,existing_map,/images/fallbacks/retail.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
roaring-fork,Roaring Fork,matched_current_map,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
boa-steakhouse,BOA Steakhouse,needs_review_missing_coordinates,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
the-kitchen-american-bistro,The Kitchen American Bistro,needs_review_missing_coordinates,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
fixe-southern-house,Fixe Southern House,matched_current_map,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
ranch-616,Ranch 616,matched_current_map,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
austin-wellness-collaborative,Austin Wellness Collaborative,needs_review_missing_coordinates,existing_map,/images/fallbacks/brands.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
la-volta-pizza-club,La Volta Pizza Club,needs_review_missing_coordinates,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
24-diner,24 Diner,matched_current_map,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
the-antique-swan,The Antique Swan,needs_review_missing_coordinates,fallback,/images/fallbacks/retail.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
frank-darling,Frank Darling,needs_review_missing_coordinates,existing_map,/images/fallbacks/residential.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
portland-leather-goods-austin,"Portland Leather Goods, Austin",needs_review_missing_coordinates,existing_map,/images/fallbacks/residential.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
the-shade-store,The Shade Store,needs_review_missing_coordinates,existing_map,/images/fallbacks/retail.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
townlake-ymca,Townlake YMCA,needs_review_missing_coordinates,fallback,/images/fallbacks/wellness.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
atx-sign,ATX Sign,needs_review_missing_coordinates,existing_map,/images/fallbacks/retail.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
wellness-and-beauty,Wellness and Beauty,needs_review_missing_coordinates,existing_map,/images/fallbacks/drinks.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
ballet-austin-s-pilates-center,Ballet Austin's Pilates Center,needs_review_missing_coordinates,fallback,/images/fallbacks/wellness.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
ballet-austin,Ballet Austin,needs_review_missing_coordinates,fallback,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
local-walk-up-window,Local Walk-Up Window,needs_review_missing_coordinates,existing_map,/images/fallbacks/residential.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
north-italia,North Italia,matched_current_map,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
flower-child,Flower Child,matched_current_map,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
torchy-s-tacos,Torchy's Tacos,matched_current_map,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
world-space-austin,World Space Austin,needs_review_missing_coordinates,existing_map,/images/fallbacks/hotel.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
indochino,INDOCHINO,needs_review_missing_coordinates,fallback,/images/fallbacks/retail.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
yummi-joy,Yummi Joy,matched_current_map,existing_map,/images/fallbacks/coffee.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
sushi-bar-austin-downtown,Sushi Bar Austin Downtown,needs_review_missing_coordinates,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
golden-ace-austin,Golden Ace Austin,matched_current_map,existing_map,/images/fallbacks/drinks.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
strive-company,Strive Company,needs_review_missing_coordinates,existing_map,/images/fallbacks/retail.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
atx-cocina,ATX Cocina,matched_current_map,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
candid-studios-photography-and-videography-austin,Candid Studios Photography & Videography - Austin,needs_review_missing_coordinates,existing_map,/images/fallbacks/hotel.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
blu-dot,Blu Dot,needs_review_missing_coordinates,fallback,/images/fallbacks/retail.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
urban-outfitters,Urban Outfitters,matched_current_map,existing_map,/images/fallbacks/retail.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
serenade,Serenade,needs_review_missing_coordinates,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
which-wich,Which Wich,matched_current_map,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
starbucks-coffee-company,Starbucks Coffee Company,needs_review_missing_coordinates,existing_map,/images/fallbacks/coffee.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
tesla-destination-charger,Tesla Destination Charger,needs_review_missing_coordinates,existing_map,/images/fallbacks/hotel.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
cathy-s-cleaners-downtown,Cathy's Cleaners Downtown,matched_current_map,existing_map,/images/fallbacks/retail.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
barchi-sushi,BarChi Sushi,matched_current_map,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
taverna-austin-downtown,Taverna Austin (Downtown),matched_current_map,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
iii-forks,III Forks,matched_current_map,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
bob-s-steak-and-chop-house-downtown-austin,Bob's Steak & Chop House - Downtown Austin,matched_current_map,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
cooper-s-old-time-pit-bar-b-que,Cooper's Old Time Pit Bar-B-Que,matched_current_map,existing_map,/images/fallbacks/drinks.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
soma-re-form-pilates-and-wellness-collective,Soma Re·form Pilates & Wellness Collective,needs_review_missing_coordinates,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
mexic-arte-museum,Mexic-Arte Museum,matched_current_map,existing_map,/images/fallbacks/civic.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
shiner-s-saloon,Shiner's Saloon,matched_current_map,existing_map,/images/fallbacks/drinks.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
ra-sushi-austin,RA Sushi - Austin,needs_review_missing_coordinates,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
flow-at-the-one-luxury-iv-hydration-and-wellness,Flow At The One Luxury IV Hydration & Wellness,needs_review_missing_coordinates,existing_map,/images/fallbacks/residential.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
white-sage-integrative-wellness-apothecary-and-med-spa,"White Sage Integrative Wellness, Apothecary & Med Spa",needs_review_missing_coordinates,existing_map,/images/fallbacks/hotel.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
verbena-spa,Verbena Spa,needs_review_missing_coordinates,fallback,/images/fallbacks/wellness.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
milk-honey,milk + honey,matched_current_map,existing_map,/images/fallbacks/retail.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
the-tox-austin-downtown,The Tox Austin Downtown,matched_current_map,existing_map,/images/fallbacks/retail.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
the-monarch-by-windsor-apartments,The Monarch by Windsor Apartments,needs_review_missing_coordinates,fallback,/images/fallbacks/residential.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
the-well-2nd-st,The Well - 2nd St,needs_review_missing_coordinates,fallback,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
parlor-room,Parlor Room,matched_current_map,existing_map,/images/fallbacks/drinks.jpg,,,,skipped_no_api_key,Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured.
duke-s-adventure-golf,Duke's Adventure Golf,needs_review_missing_coordinates,existing_map,/images/fallbacks/dining.jpg,,,,skipped_no_api_key,"Missing from current map or below 85% match confidence. CSV does not include lat/lng or Google Place ID, so pin import is blocked until Google Places enrichment/geocoding is run. | Missing Google Place ID. | Missing Google Places photo URL/reference in source CSV. | Google Places enrichment skipped because GOOGLE_PLACES_API_KEY / GOOGLE_MAPS_API_KEY is not configured."
