Partner,Type,Slug,Route,Notion source,Readiness,Public approval,Missing fields,Conflicts,Media status,Review owner,Last updated
"2nd Street District","civic","second-street-district","/partners/launch/civic/second-street-district","3a12e63f902b81d7a100d0687833a4db","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"360 Condominiums","property","360-condominiums","/partners/launch/buildings/360-condominiums","39b2e63f902b8153af2df3d692346e7d","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"44 East Ave","property","44-east-ave","/partners/launch/buildings/44-east-ave","39b2e63f902b8113b8d6f8625729d61f","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"70 Rainey","property","70-rainey","/partners/launch/buildings/70-rainey","39b2e63f902b811aacb6cf46ecbbf7c0","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"700 River","property","700-river","/partners/launch/buildings/700-river","39b2e63f902b81c5bec9dd1d313fd708","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Advance Purchase","brand","advance-purchase","/partners/launch/brands/advance-purchase","39b2e63f902b815ab590da416186e769","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Allen's Boots","venue","allen-s-boots","/partners/launch/rainey/allen-s-boots","39b2e63f902b818a91a0d56008686b47","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Alteño","venue","alteno","/partners/launch/venues/alteno","3a12e63f902b81ed9d78c0218b1eed12","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Amaya","venue","amaya","/partners/launch/rainey/amaya","39b2e63f902b81869fb5ffe6a02d37ca","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"AQUILA / 68 East Avenue","operator","aquila-68-east-avenue","/partners/launch/organizations/aquila-68-east-avenue","3a12e63f902b8129aa80d63f8765b85f","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Augustine","venue","augustine","/partners/launch/rainey/augustine","39b2e63f902b812eb9f3e36255d9727e","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Austin Business Journal","media","austin-business-journal","/partners/launch/media/austin-business-journal","3a12e63f902b81069debe37809329e15","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Austin Central Library","civic","austin-central-library","/partners/launch/civic/austin-central-library","39b2e63f902b81039f33ebf3d1f22072","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Austin Proper Residences","property","austin-proper-residences","/partners/launch/buildings/austin-proper-residences","39b2e63f902b810fbc03f6bfcfd3ea84","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Austin Way","media","austin-way","/partners/launch/media/austin-way","3a12e63f902b81c49be0cc758bae1578","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Austin Woman","media","austin-woman","/partners/launch/media/austin-woman","3a12e63f902b8146b889cc7788e3251a","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Bachelor & Bachelorette Austin Experience","brand","bachelor-and-bachelorette-austin-experience","/partners/launch/brands/bachelor-and-bachelorette-austin-experience","39b2e63f902b813ba726c0fcbb86898b","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Banger's","venue","banger-s","/partners/launch/rainey/banger-s","39b2e63f902b81f88902e9aded63e390","ready-with-review","No","approved copy; approved media","1","missing","Not yet assigned","2026-07-18"
"Banger's Mimosa Brunch","venue","banger-s-mimosa-brunch","/partners/launch/rainey/banger-s-mimosa-brunch","39b2e63f902b817c9560c369c9df14be","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Banger's Sausage House & Beer Garden","venue","banger-s-sausage-house-and-beer-garden","/partners/launch/rainey/banger-s-sausage-house-and-beer-garden","39b2e63f902b813f9d92fc8145325e81","ready-with-review","No","approved copy; approved media","1","missing","Not yet assigned","2026-07-18"
"Both — Nirosha Perera","property","both-nirosha-perera","/partners/launch/buildings/both-nirosha-perera","39b2e63f902b8189a123cd8051a4ee8a","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Brookfield / Downright Austin","hotel","brookfield-downright-austin","/partners/launch/hotels/brookfield-downright-austin","3a12e63f902b8188a0c6c6081476836f","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Bungalow","venue","bungalow","/partners/launch/rainey/bungalow","39b2e63f902b81c88001c826f7baaf38","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"C3 Presents","media","c3-presents","/partners/launch/media/c3-presents","3a12e63f902b81429dc9fba38cfa20b1","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Camden Rainey Street","property","camden-rainey-street","/partners/launch/buildings/camden-rainey-street","39b2e63f902b8187ae5ceb73d584b36e","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Canje","venue","canje","/partners/launch/rainey/canje","39b2e63f902b81478e01d48808999aba","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"CB2 Austin","brand","cb2-austin","/partners/launch/brands/cb2-austin","39b2e63f902b8169b0f1fdd813ce1353","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"City of Austin — Mayor","civic","city-of-austin-mayor","/partners/launch/civic/city-of-austin-mayor","39b2e63f902b81638573c29437ff3788","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Clive Bar","venue","clive-bar","/partners/launch/rainey/clive-bar","39b2e63f902b81e49706fe3d5ee9ec9f","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Closet / Wardrobe Partner","brand","closet-wardrobe-partner","/partners/launch/brands/closet-wardrobe-partner","39b2e63f902b81348579c5324a78f15e","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Comedy Mothership","venue","comedy-mothership","/partners/launch/rainey/comedy-mothership","39b2e63f902b811aba94d85291ae62a4","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"CorePower Yoga Downtown Austin","venue","corepower-yoga-downtown-austin","/partners/launch/rainey/corepower-yoga-downtown-austin","39b2e63f902b819084b2f4205f06ec3b","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"DAA Art Walk","media","daa-art-walk","/partners/launch/media/daa-art-walk","39b2e63f902b81258ad4d51d0a166f42","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"DANA","civic","dana","/partners/launch/civic/dana","39b2e63f902b8110b4a6d4c8b1226c62","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"DANA — Board Member","civic","dana-board-member","/partners/launch/civic/dana-board-member","39b2e63f902b81999b51e5609310a26e","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"DANA — President","civic","dana-president","/partners/launch/civic/dana-president","39b2e63f902b817b90b9c8ef4f0e2e9b","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"DANA — Vice President","civic","dana-vice-president","/partners/launch/civic/dana-vice-president","39b2e63f902b81ce91adc2e0301861b7","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
