record_status,entity_id,name,district,building_type,operating_status,pin_key,pin_label,pin_asset_path,listing_brand_property_business_overview,resident_panel_copy,partner_panel_copy,shared_amenities,resident_perk,secret_sauce,hidden_gem,campaign_alignment,resident_actions,partner_actions,resident_context_labels,partner_context_labels,search_tags,source_url,verification_status
residential_mixed_use_copy_deck,44-east-ave,44 East Ave,Rainey,Condominium tower,Existing / verify current access,property,Residential,/pins/circular/categories/residential.svg,"A lake-edge condominium tower at the foot of Rainey Street, designed around refined interiors, significant shared amenity space, and direct access to downtown’s outdoor and social life.","Live where Lady Bird Lake, the Butler Trail, Rainey Street, and downtown meet. 44 East Ave pairs a calm, design-led home base with fast access to morning movement, evening dining, and the city’s most active waterfront district.","Position 44 East Ave as a premium lake-and-city residential address. Campaigns should emphasize resident retention, outdoor lifestyle, concierge-level convenience, pet-friendly routines, and high-value local partnerships rather than generic luxury claims.",Cenote-style pool; fitness center; yoga studio; conference rooms; 24-hour concierge; dog lounge and spa; resident gathering spaces; outdoor terraces; heritage-tree landscaping,Proposed: resident rooftop and pool-day partner offers; fitness and recovery benefits; dog-care offers; priority dining and hotel experience access; trail-ready retail bundles,The strongest crossover between a quiet lake-edge home base and immediate Rainey access.,"Early-morning trail access before Rainey wakes up; low-friction walk to Geraldine’s, Emmer & Rye, and the lakefront; dog-care partnerships that connect the building’s pet spa to nearby services.",Lake-to-lobby morning routine; Resident rooftop season; Dog days downtown; Rainey without the friction; Visiting friends and family hotel guide,Open resident guide | Explore nearby | View shared amenities | Save | Directions | Contact property,Launch building campaign | Manage resident perks | View amenity engagement | View audience | Edit visibility | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Rainey; residential; mixed use; amenities; resident perks; downtown Austin; 44 East Ave,https://www.44eastaveaustin.com/the-building-amenities/,Official building source reviewed; perk concepts require partner approval
residential_mixed_use_copy_deck,natiivo-austin,Natiivo Austin,Rainey,Condo-hotel / mixed-use residential,Existing,property,Residential + hospitality,/pins/circular/categories/residential.svg,"A flexible condo-hotel tower combining private ownership, short-term hospitality use, concierge service, coworking, fitness, pet amenities, and a rooftop pool.","Natiivo works for people who want downtown ownership with hotel-like flexibility. Residents and guests can move easily between coworking, fitness, the rooftop pool, Rainey nightlife, and Lady Bird Lake.","Treat Natiivo as a dual-audience property: residents and hospitality guests. Campaign controls must distinguish permanent residents, owners, short-stay guests, and public-facing booking activity.",Rooftop pool and cabanas; rooftop club room; fitness center; yoga lounge; private Peloton studios; coworking; concierge; valet; dog run; pet wash; bike storage; coffee lounge,Proposed: resident-and-guest dining guide; owner hosting toolkit; pet welcome offers; coworking coffee benefits; rooftop event add-ons; local stay support,The building can serve as both a home and a hospitality base without forcing residents into a traditional hotel experience.,Owner-hosted local itineraries; coffee and coworking pairings; guest-ready pet amenities; rooftop-to-Rainey evening routes.,Owner hosting made easier; Guest-ready Rainey guide; Rooftop weekends; Work from downtown; Pet-friendly city stay,Open resident and guest guide | Explore nearby | View rooftop | Save | Directions,Segment residents vs guests | Launch stay campaign | Manage owner toolkit | View reports | Edit visibility,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Rainey; residential; mixed use; amenities; resident perks; downtown Austin; Natiivo Austin,https://www.pearlstonepartners.com/portfolio/natiivo/,Developer source reviewed; specific access and operating rules require property confirmation
residential_mixed_use_copy_deck,the-shore,The Shore,Rainey,Condominium tower,Existing,property,Residential,/pins/circular/categories/residential.svg,"A Rainey condominium building with a resort-style terrace, concierge service, fitness facilities, lake proximity, and a distinctive relationship to Hotel Van Zandt.","The Shore gives residents a quieter residential foothold beside Rainey, with the lake, trail, dining, and Hotel Van Zandt ecosystem close at hand.",Differentiate The Shore through its hotel adjacency and resident convenience. Avoid presenting hotel amenities as universally available unless the access relationship is verified.,Sixth-floor pool terrace; cabanas; grilling area; concierge; fitness center; meeting room; fire pit and lounge; secure parking; possible Hotel Van Zandt access relationship,Proposed: verified Hotel Van Zandt resident benefits; Geraldine’s dining moments; Brass Poppy reservations; pool and cabana offers where approved; visiting-family stay rates,"A residential building that can connect naturally to a full hotel, dining, nightlife, and event ecosystem next door.",Weeknight Geraldine’s before the weekend crowd; Brass Poppy as a resident-first meeting spot; trail mornings followed by Café 605.,"Your hotel next door; Resident night at Geraldine’s; Friends in town; Rainey, handled; Quiet side of the district",Open resident guide | View verified hotel benefits | Explore nearby | Save | Contact property,Verify shared access | Launch hotel-adjacent campaign | Manage benefits | View engagement | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Rainey; residential; mixed use; amenities; resident perks; downtown Austin; The Shore,https://austin.towers.net/condos/shore/,Building facts reviewed; hotel-access claims must be verified before publishing
residential_mixed_use_copy_deck,milago,Milago,Rainey,Condominium tower,Existing,property,Residential,/pins/circular/categories/residential.svg,"A lakefront residential building at the quieter end of Rainey with direct trail access, rooftop amenities, concierge service, and strong outdoor-lifestyle appeal.","Milago is for residents who want downtown access without giving up the lake. Step onto the trail, store the bike or kayak, then return to a rooftop pool and a calmer residential rhythm.","Lead with authentic outdoor access, pet-friendly routines, and resident community—not generic nightlife proximity. Milago’s value is the ability to participate in Rainey selectively.",Rooftop pool and spa; terraces; fitness center; concierge; club room; Wi-Fi lounge; bike storage; canoe and kayak storage; private dock or lake access,Proposed: paddle and kayak partnerships; trail-run recovery; bike maintenance; dog-friendly coffee routes; rooftop sunset programming,Direct outdoor access is the amenity; the building turns the lake and trail into part of the resident routine.,Sunrise trail loops; paddle access; the calm southern edge of Rainey; easy outdoor mornings followed by nearby coffee.,Trail at your door; Paddle downtown; Rooftop sunset series; Active resident month; Pet-and-trail guide,Open trail guide | Explore outdoor perks | View amenities | Save | Directions,Launch outdoor lifestyle campaign | Manage local partners | View participation | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Rainey; residential; mixed use; amenities; resident perks; downtown Austin; Milago,https://milagocondosaustin.com/,Building source reviewed; water-access details require current property confirmation
residential_mixed_use_copy_deck,70-rainey,70 Rainey,Rainey,Condominium tower,Existing,property,Residential,/pins/circular/categories/residential.svg,"A garden-forward condominium tower with extensive indoor and outdoor amenities, a strong wellness layer, concierge service, and immediate access to Rainey and the lake.","70 Rainey gives residents room to retreat above the district. Gardens, pools, fitness, yoga, sauna, pet space, and outdoor lounges create a private residential counterpoint to the energy below.","Position 70 Rainey around wellness, landscape, and private amenity depth. Campaigns should protect the building’s sense of retreat while connecting residents selectively to downtown.",Infinity-edge pool; plunge pool; cabanas; rooftop gardens; fitness center; yoga terrace; sauna and steam; pet park; outdoor kitchen; lounges; concierge,Proposed: wellness passes; recovery and spa offers; private dining and chef moments; pet services; curated low-friction Rainey reservations,The building’s layered gardens and wellness spaces make it feel removed from Rainey while still being in the middle of it.,Eastern yoga terrace mornings; secluded plunge pool; herb-garden programming; quiet routes to the MACC and lake.,Wellness above Rainey; Garden season; Resident recovery month; Quiet luxury downtown; Pet park partners,Open wellness guide | View shared amenities | Explore nearby | Save | Contact property,Launch wellness campaign | Manage amenity programming | View audience | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Rainey; residential; mixed use; amenities; resident perks; downtown Austin; 70 Rainey,https://70raineyatx.com/,Official source reviewed; proposed perks require approval
residential_mixed_use_copy_deck,vesper,Vesper,Rainey,Condominium tower,Existing / newly delivered,property,Residential,/pins/circular/categories/residential.svg,"A design-led condominium tower balancing Rainey’s energy with three levels of private amenities, curated interiors, coworking, wellness, pet facilities, and rooftop views.","Vesper is built for residents who want downtown energy on their terms. Move between coworking, fitness, the rooftop pool, private lounges, and Rainey while keeping home calm and design-focused.","Lead with the contrast between public energy and private calm. Campaigns should feel curated, design-aware, and resident-controlled—not loud or promotional.",24-hour concierge; coworking; liquor lockers; dog wash; art gallery; fitness center; spin rooms; yoga studio and lawn; sky dog run; terraces; rooftop pool and lounge,Proposed: art walks; resident cocktail lockers and tastings; design and home partnerships; boutique fitness benefits; curated dinner reservations,"A private, design-minded refuge that uses Rainey as an option rather than the entire identity.",Ground-level art and murals; evening rooftop light; resident liquor-locker programming; quieter mid-level outdoor wellness spaces.,Evening at Vesper; Art in the alley; Design district resident guide; Rooftop after work; Calm above Rainey,Open resident guide | View art and amenities | Explore nearby | Save | Contact property,Launch curated campaign | Manage art and wellness programming | View reports | Edit visibility,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Rainey; residential; mixed use; amenities; resident perks; downtown Austin; Vesper,https://vesperatx.com/amenities/,Official source reviewed; campaign concepts are proposed
residential_mixed_use_copy_deck,the-quincy,The Quincy,Rainey,Mixed-use rental tower,Existing,property,Mixed-use residential,/pins/circular/categories/residential.svg,"A mixed-use apartment tower combining residences, office space, ground-floor retail, coworking, wellness amenities, rooftop pools, pet facilities, and Royal Blue Grocery in the lobby.","The Quincy makes everyday downtown living unusually efficient. Work, groceries, fitness, pool time, the trail, dining, and Rainey can all fit into the same walkable routine.","The strongest campaign opportunity is daily utility. Use the building’s residential, office, and retail mix to create repeatable morning, workday, evening, and weekend journeys.",Rooftop pools; coworking; business center; conference rooms; yoga and spin; pet spa; private dining; sports lounge; EV charging; bike storage; lobby Royal Blue Grocery,Proposed: Royal Blue resident offers; coworking coffee; office-to-home dinner bundles; pet spa partners; private dining packages; event-night convenience offers,"The building solves daily friction through true mixed-use convenience, not just amenity volume.",Lobby grocery runs without a car; coworking-to-pool transitions; Lady Bird Lake trail access; private dining for small resident gatherings.,Everything downstairs; Workday to weekend; Quincy resident essentials; Lobby-to-lake; Office and resident crossover,Open mixed-use guide | View resident perks | Explore retail | Save | Directions,Launch mixed-use campaign | Segment residents and workers | Manage retail offers | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Rainey; residential; mixed use; amenities; resident perks; downtown Austin; The Quincy,https://quincyatx.com/amenities/,Official source reviewed
residential_mixed_use_copy_deck,waterline-residences,Waterline Residences / Bosque at Waterline,Rainey / Convention Core,"Mixed-use supertall residential, hotel, office and retail",Emerging / verify opening phases,property,Mixed-use residential,/pins/circular/categories/residential.svg,"A major mixed-use destination where residences, hotel, office, retail, dining, Waller Creek, and Lady Bird Lake converge, with extensive indoor and outdoor residential amenities.","Waterline is designed as a vertical neighborhood. Residents will be able to move from home to wellness, coworking, creekside retail, dining, hotel experiences, and the lake without leaving the property ecosystem.","Treat Waterline as a district-scale mixed-use platform, not a single building. Campaigns must distinguish residents, hotel guests, office workers, retail visitors, and public creekside users.",352 residences; extensive indoor and outdoor amenities; pools; lounges; coworking; fitness; landscaped outdoor spaces; creekside retail and dining; hotel adjacency,Proposed: resident retail opening offers; hotel dining and wellness access where approved; office-resident crossover; creekside programming; concierge local guide,"The building can create its own neighborhood loop while remaining connected to the lake, creek, convention district, and Rainey.",Creekside morning route; resident-only upper-level amenity sequence; early access to new retail; hotel-residence service connections.,"A neighborhood in one address; Meet at the creek; Waterline opening season; Work, stay, live; Resident retail passport",Open Waterline guide | Explore retail and dining | View amenities | Save | Register interest,Manage audience layers | Launch opening campaign | Configure access | View district report,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Rainey / Convention Core; residential; mixed use; amenities; resident perks; downtown Austin; Waterline Residences / Bosque at Waterline,https://waterlineaustin.com/residences/,"Official source reviewed; opening dates, tenants and access must be continuously verified"
residential_mixed_use_copy_deck,paseo,Paseo,Rainey,Mixed-use apartment tower,Emerging / verify leasing,property,Mixed-use residential,/pins/circular/categories/residential.svg,"A new mixed-use residential tower intended to connect apartment living with Rainey, downtown work, lake access, retail, and amenity-rich daily routines.","Paseo should make the transition between home, work, movement, food, and nightlife feel simple. The value is not only what is inside the building, but how quickly residents can move through downtown.","Position Paseo around resident utility, new-building discovery, and curated neighborhood onboarding. Avoid copying the tone of established condominium towers.","Verify from current property materials; expected modern fitness, pool, coworking, lounges, pet amenities, package and resident services",Proposed: new-resident welcome passport; neighborhood essentials; coworking and coffee; fitness trials; preferred local reservations,A new resident’s shortcut into Rainey and downtown—best expressed through onboarding and neighborhood confidence.,A practical first-30-days guide; quieter weekday dining; service partners that reduce moving friction.,"First 30 days downtown; New address, known neighborhood; Paseo welcome season; Work-near-home; Resident essentials",Open welcome guide | Explore nearby | View available perks | Save | Contact leasing,Launch leasing campaign | Manage onboarding offers | View lead handoffs | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Rainey; residential; mixed use; amenities; resident perks; downtown Austin; Paseo,https://www.paseoatx.com/,Current official property details must be verified before final publication
residential_mixed_use_copy_deck,700-river,700 River,Rainey,Mixed-use residential tower,Emerging / verify opening and branding,property,Mixed-use residential,/pins/circular/categories/residential.svg,"A next-generation Rainey residential project expected to combine high-rise living, significant amenities, public-facing ground-level activity, and immediate lake and district access.","700 River should be framed as a new gateway between Rainey and the lake, with a resident experience built around views, movement, hospitality, and a more connected ground floor.","Use a pre-opening and launch framework. All amenity, tenant, access, and timeline claims must be verified before resident publication.",Pending verified current inventory,Proposed: founding resident offers; construction-to-opening updates; local business welcome program; lake and wellness partnerships,Its future value is as a district connector rather than another isolated tower.,Potential ground-floor pathways and public realm connections; early resident relationships with established Rainey businesses.,Founding residents; The next Rainey chapter; Opening passport; Lake and district connector,Register interest | Follow opening updates | Explore neighborhood | Save,Manage pre-opening campaign | Verify inventory | Capture interest | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Rainey; residential; mixed use; amenities; resident perks; downtown Austin; 700 River,https://www.endeavor-re.com/,"Assumption-led placeholder; project naming, delivery and program require direct verification"
