crm_id,segment,entity_name,contact_name,role_title,email,phone,website,address,city,state,zip,status,notes,dedupe_key,source_files,source_sheets,source_row_count
CRM-00524,Property,"Frost Insurance Agency, Inc.",,,crystal.jacobson@frostbank.com,4011400787015124734520140078701107359651347142945079143,,,,,,,"Frost Insurance Agency, Inc. Insurance agency: personal, commercial, surety and business insurance 401 Congress Ave, Suite 1400, Austin, TX 78701 https://www.frostinsurance.com Phone 512-473-4520; Acuity page lists crystal.jacobson@frostbank.com; NASBP lists Frost Insurance contacts Agency principal / commercial insurance / surety / local sales High Risk Readiness + Small Business Support Insurance readiness consult for downtown residents, small businesses, restaurants and service operators. Ins",email:crystal.jacobson@frostbank.com,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-01585,Research,Amherst,,,media@amherst.com,401337870140133,,,,,,,"Amherst Real estate investment, housing and asset management 401 Congress Ave, 33rd Floor, Austin, TX 78701 https://www.amherst.com/contact/ Media: media@amherst.com; investor contact route via Amherst contact page Austin office leadership / Workplace experience / Corporate communications High Resident Intelligence + Housing Lifestyle Downtown living intelligence package: resident research, neighborhood preference survey, and curated local offers for employees and visiting partners. Amherst alre",email:media@amherst.com,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-01807,Hotel,"Slayden Grubert Beard, PLLC",,,patent@sgbfirm.com,40116507870151240235501650,,,,,,,"Slayden Grubert Beard, PLLC Intellectual property law firm 401 Congress Avenue, Suite 1650, Austin, TX 78701 https://sgbfirm.com/ patent@sgbfirm.com; phone 512-402-3550 Firm partners / office administrator / business development Medium Innovation + Founder Support Founder/IP office-hours event, startup protection checklist, client hospitality route. SGB fits the innovation corridor: help founders and operators understand IP basics while giving the firm dignified local visibility. Residents and f",email:patent@sgbfirm.com,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-01832,Civic,"Graves, Dougherty, Hearon & Moody, P.C.",,,pcesaro@gdhm.com,4012700787015124805600,,,,,,,"Graves, Dougherty, Hearon & Moody, P.C. Austin law firm 401 Congress Avenue, Suite 2700, Austin, TX 78701 https://www.gdhm.com/contact/ Phone 512-480-5600; Law Firm Alliance lists Peter Cesaro and pcesaro@gdhm.com Managing partner / office administrator / community relations / recruiting Medium Professional Community + Civic Trust Private client-meeting guide; civic briefing sponsorship; local professional services map placement. GDHM is deeply Austin. Downtown Perks can help them show civic pre",email:pcesaro@gdhm.com,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-02136,Property,SoulCycle,,,souldowntownaustin@soul-cycle.com,401787015122657500,,,,,,,"SoulCycle Indoor cycling studio / boutique fitness 401 Congress Avenue, Austin, TX 78701 https://www.soul-cycle.com/studios/tx-austin-downtown/ Phone 512-265-7500; souldowntownaustin@soul-cycle.com Studio manager / local marketing / regional partnerships Critical Fitness + Wellness Anchor First ride / guest pass / resident wellness bundle; cross-promote JuiceLand post-class reset. SoulCycle is the movement anchor. It gives Downtown Perks a premium wellness reason to exist beyond food and discoun",email:souldowntownaustin@soul-cycle.com,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-02266,Sponsor/Brand,landyfrostgroup.com,,,tim@landyfrostgroup.com,311202642804311202642804,,,,,,,"Tim Landy tim@landyfrostgroup.com  Agent Email Import 3/11/2026, 4:28:04 PM 3/11/2026, 4:28:04 PM   Active Nina Seely",email:tim@landyfrostgroup.com,/Users/megdude/Downloads/OUTREACH CRM/LUXURY PRESENCE CONTACTS.csv,CSV,1
CRM-02668,Sponsor/Brand,Equiem,,,,,/map/equiem,,,,,recommended,recommended,entity:equiem|contact:record|address:record,/Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown_perks_launch_target_master_registry.xlsx | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,Ask Map Intents | CSV | Partner Intelligence | Perks | Routing | Search Keywords,15
CRM-02720,Venue,Frost Bank Branch,,,,,/map/frost-bank-branch,,,,,recommended,recommended,entity:frost-bank-branch|contact:record|address:record,/Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown_perks_launch_target_master_registry.xlsx,Ask Map Intents | Perks | Routing | Search Keywords,19
CRM-02721,Research,Frost Bank Tower Executive Health Club,,,,,,,,,,,"Frost Bank Tower Executive Health Club bar Downtown Core             Not researched  Run Places/API + website/contact research After-work / weekend discovery, resident night, happy-hour redemption.",entity:frost-bank-tower-executive-health-club|contact:record|address:record,/Users/megdude/Downloads/x MASTER MAP INVENTORY /GOOGLE MAPS/ENRICHED/downtown-perks-contact-research-base.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /GOOGLE MAPS/ENRICHED/downtown-perks-places-contact-research-workbook.xlsx | /Users/megdude/Downloads/x MASTER MAP INVENTORY /GOOGLE MAPS/ENRICHED/downtown-perks-places-enrichment-seed.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown-perks-places-contact-research-workbook (1).xlsx | /Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown-perks-places-contact-research-workbook.xlsx,CSV | Contact Research Base | Places Enrichment Seed,8
CRM-02722,Research,Frost Bank Tower Executive Health Club,,,,,VERIFY — website not captured in source extract,VERIFY — address not captured in browser extract,,,,,frost-bank-tower-executive-health-club-002acadd Frost Bank Tower Executive Health Club bar Bar Downtown Core VERIFY — address not captured in browser extract VERIFY VERIFY VERIFY VERIFY — likely afternoon/evening service; confirm exact closing time and happy hour rules. VERIFY — exact closing time not captured in source; pull from Google Places opening_hours before publishing. Needs Google Places / website verification Proposed: Tue–Thu resident happy-hour feature; verify existing happy hour bef,entity:frost-bank-tower-executive-health-club|contact:record|address:verify-address-not-captured-in-browser-extract,/Users/megdude/Downloads/x MASTER MAP INVENTORY /GOOGLE MAPS/CONTENT/downtown-perks-master-content-plan.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /GOOGLE MAPS/CONTENT/downtown-perks-master-content-plan.xlsx,CSV | Master Content Plan,2
