record_status,parent_entity_id,entity_id,slug,name,record_type,category,partner_type,brand,district,latitude,longitude,address,source_layer,pin_key,pin_label,pin_asset_path,has_perk,is_inkind,offer_summary,listing_brand_property_business_overview,resident_badge,resident_eyebrow,resident_meta,resident_panel_copy,resident_signal,resident_context_labels,resident_insight_grid,resident_actions,partner_badge,partner_eyebrow,partner_meta,partner_panel_copy,partner_signal,partner_context_labels,partner_insight_grid,partner_actions,image_path,source_url,valid_through,terms_summary,verification_status
current_map_entity,,comedy-mothership,comedy-mothership,Comedy Mothership,culture,culture,venue,,East Downtown,30.2676,-97.7385,"320 E 6th St, Austin, TX",culture,dining,Dining,/pins/circular/categories/dining.svg,False,False,,Downtown comedy anchor with strong nightlife and dinner crossover.,culture,East Downtown,Nearby / Resident ready,Downtown comedy anchor with strong nightlife and dinner crossover.,,Activation details | Offer/perk | Redemption locations | Campaign analytics,,Save -> toggle_saved_state | Nearby Perks -> /map?mode=resident&tab=map&filter=perks&near=comedy-mothership | External maps directions -> google_maps_url | Save -> toggle_saved_state,culture,East Downtown,Nearby / Partner signal,Downtown comedy anchor with strong nightlife and dinner crossover.,,Activation details | Offer/perk | Redemption locations | Campaign analytics,,Launch Campaign -> /partners/campaigns?entityId=comedy-mothership | View Reports -> /partner-workspace/overview | View Dashboard -> /partner-workspace | Resident View -> /map?mode=resident&tab=map | Edit Visibility -> open_visibility_controls | View Audience -> open_audience_view | Contact -> /contact,/images/motion/5OVOBur8PVysCm5FG_VdOAa7gUhIy1_fvE5kZsu0GsuYm7SNjgBBbVIIlHOziVJCOc7KQxMoc4JfYS5n4KfGSTDmXb6UZcEuaFk9nCXQkN1E78Sv8Pa4g4ktnmgi139nJwRbEqIhH7K1xlwdOC-afhNU2-a7TMFg6QTIvalBTTn4eKA2rlRgzVjsBrBtko0R.jpeg,,,,Imported from current map inventory
current_map_entity,,bangers,bangers,Banger's,venue,food,venue,,Rainey,30.2589,-97.7382,"79 Rainey St, Austin, TX",venue,dining,Dining,/pins/circular/categories/dining.svg,False,False,,Large Rainey beer garden and dining anchor with resident social pull.,food,Rainey,Nearby / Resident ready,Large Rainey beer garden and dining anchor with resident social pull.,,Activation details | Offer/perk | Redemption locations | Campaign analytics,,Save -> toggle_saved_state | Nearby Perks -> /map?mode=resident&tab=map&filter=perks&near=bangers | External maps directions -> google_maps_url | Save -> toggle_saved_state,food,Rainey,Nearby / Partner signal,Large Rainey beer garden and dining anchor with resident social pull.,,Activation details | Offer/perk | Redemption locations | Campaign analytics,,Launch Campaign -> /partners/campaigns?entityId=bangers | View Reports -> /partner-workspace/overview | View Dashboard -> /partner-workspace | Resident View -> /map?mode=resident&tab=map | Edit Visibility -> open_visibility_controls | View Audience -> open_audience_view | Contact -> /contact,/images/partner_dining_patio_1779052819620.png,,,,Imported from current map inventory
current_map_entity,,lustre-pearl,lustre-pearl,Lustre Pearl,nightlife,nightlife,venue,,Rainey,30.2584,-97.7388,"94 Rainey St, Austin, TX",nightlife,dining,Dining,/pins/circular/categories/dining.svg,False,False,,Rainey nightlife patio with strong mixer and resident event fit.,nightlife,Rainey,Nearby / Resident ready,Rainey nightlife patio with strong mixer and resident event fit.,,Activation details | Offer/perk | Redemption locations | Campaign analytics,,Save -> toggle_saved_state | Nearby Perks -> /map?mode=resident&tab=map&filter=perks&near=lustre-pearl | External maps directions -> google_maps_url | Save -> toggle_saved_state,nightlife,Rainey,Nearby / Partner signal,Rainey nightlife patio with strong mixer and resident event fit.,,Activation details | Offer/perk | Redemption locations | Campaign analytics,,Launch Campaign -> /partners/campaigns?entityId=lustre-pearl | View Reports -> /partner-workspace/overview | View Dashboard -> /partner-workspace | Resident View -> /map?mode=resident&tab=map | Edit Visibility -> open_visibility_controls | View Audience -> open_audience_view | Contact -> /contact,/images/motion/5OVOBur8PVysCm5FG_VdOAa7gUhIy1_fvE5kZsu0GsuYm7SNjgBBbVIIlHOziVJCOc7KQxMoc4JfYS5n4KfGSTDmXb6UZcEuaFk9nCXQkN1E78Sv8Pa4g4ktnmgi139nJwRbEqIhH7K1xlwdOC-afhNU2-a7TMFg6QTIvalBTTn4eKA2rlRgzVjsBrBtko0R.jpeg,,,,Imported from current map inventory
current_map_entity,,half-step,half-step,Half Step,nightlife,nightlife,venue,,Rainey,30.2592,-97.7385,"75 1/2 Rainey St, Austin, TX",nightlife,dining,Dining,/pins/circular/categories/dining.svg,False,False,,Cocktail destination on Rainey with strong post-event and happy-hour pull.,nightlife,Rainey,Nearby / Resident ready,Cocktail destination on Rainey with strong post-event and happy-hour pull.,,Activation details | Offer/perk | Redemption locations | Campaign analytics,,Save -> toggle_saved_state | Nearby Perks -> /map?mode=resident&tab=map&filter=perks&near=half-step | External maps directions -> google_maps_url | Save -> toggle_saved_state,nightlife,Rainey,Nearby / Partner signal,Cocktail destination on Rainey with strong post-event and happy-hour pull.,,Activation details | Offer/perk | Redemption locations | Campaign analytics,,Launch Campaign -> /partners/campaigns?entityId=half-step | View Reports -> /partner-workspace/overview | View Dashboard -> /partner-workspace | Resident View -> /map?mode=resident&tab=map | Edit Visibility -> open_visibility_controls | View Audience -> open_audience_view | Contact -> /contact,/images/partner/drop-in-images/inkind-table-spread.jpg,,,,Imported from current map inventory
current_map_entity,,the-independent,the-independent,The Independent,building,property,property,,Seaholm,30.2686,-97.7522,"301 West Ave, Austin, TX",property,property,Property,/pins/circular/categories/residential.svg,False,False,,Seaholm residential tower with premium downtown walkability.,Property,Seaholm,Nearby / Resident ready,Seaholm residential tower with premium downtown walkability.,,Nearby perks | Walkable context | Listing details | Events nearby,,View Property -> /map?mode=resident&tab=map&filter=Properties&entityId=the-independent | Contact Property -> open_property_contact_form | Nearby Perks -> /map?mode=resident&tab=map&filter=perks&near=the-independent | External maps directions -> google_maps_url | Show Card -> /map?mode=resident&tab=pass&sourceEntity=the-independent | Save -> toggle_saved_state,Property,Seaholm,Nearby / Partner signal,Residential visibility and listing activity near Seaholm.,,Nearby perks | Walkable context | Listing details | Events nearby,,View Property -> /map?mode=partner&tab=map&filter=Properties&entityId=the-independent | Contact Property -> open_property_contact_form | Nearby Perks -> /map?mode=resident&tab=map&filter=perks&near=the-independent | External maps directions -> google_maps_url | Show Card -> /map?mode=resident&tab=pass&sourceEntity=the-independent | Save -> toggle_saved_state,/images/independent_residential_1779052707992.png,,,,Imported from current map inventory
current_map_entity,,44-east-ave,44-east-ave,44 East Ave,building,property,property,,Rainey,30.2572,-97.7389,"44 East Ave, Austin, TX",property,property,Property,/pins/circular/categories/residential.svg,False,False,,Rainey-adjacent residential tower connected to Lady Bird Lake and nightlife.,Property,Rainey,Nearby / Resident ready,Rainey-adjacent residential tower connected to Lady Bird Lake and nightlife.,,Nearby perks | Walkable context | Listing details | Events nearby,,View Property -> /map?mode=resident&tab=map&filter=Properties&entityId=44-east-ave | Contact Property -> open_property_contact_form | Nearby Perks -> /map?mode=resident&tab=map&filter=perks&near=44-east-ave | External maps directions -> google_maps_url | Show Card -> /map?mode=resident&tab=pass&sourceEntity=44-east-ave | Save -> toggle_saved_state,Property,Rainey,Nearby / Partner signal,Residential visibility and listing activity near Rainey.,,Nearby perks | Walkable context | Listing details | Events nearby,,View Property -> /map?mode=partner&tab=map&filter=Properties&entityId=44-east-ave | Contact Property -> open_property_contact_form | Nearby Perks -> /map?mode=resident&tab=map&filter=perks&near=44-east-ave | External maps directions -> google_maps_url | Show Card -> /map?mode=resident&tab=pass&sourceEntity=44-east-ave | Save -> toggle_saved_state,/images/austonian_lobby_1779052725341.png,,,,Imported from current map inventory
current_map_entity,,hotel-van-zandt,hotel-van-zandt,Hotel Van Zandt,hotel,hotel,hotel,,Rainey,30.259966,-97.739141,"605 Davis St, Austin, TX",hotel,hotel,Hotel,/pins/circular/categories/hotels.svg,False,False,,Rainey hospitality anchor connected to Geraldine’s and local nightlife.,Hotel,Rainey,Nearby / Hospitality hub,Rainey hospitality anchor connected to Geraldine’s and local nightlife.,,Open venues inside | Nearby experiences | Current activations | Walk radius,,Save -> toggle_saved_state | Nearby Perks -> /map?mode=resident&tab=map&filter=perks&near=hotel-van-zandt | External maps directions -> google_maps_url | Save -> toggle_saved_state,Hotel,Rainey,Nearby / Partner signal,Rainey hospitality anchor connected to Geraldine’s and local nightlife.,,Open venues inside | Nearby experiences | Current activations | Walk radius,,Launch Campaign -> /partners/campaigns?entityId=hotel-van-zandt | View Reports -> /partner-workspace/overview | View Dashboard -> /partner-workspace | Resident View -> /map?mode=resident&tab=map | Edit Visibility -> open_visibility_controls | View Audience -> open_audience_view | Contact -> /contact,/images/hospitality/FVYZlJYG9EOdXp31bh8GIkk3w6mSV8U8I1d9Zqofl--jqIENgWsuqVYVSszwDnFwze8BBSM4tzTLq2Uch3eNsNN7jLRha9DXMuJzwOPIu6IS3i4KPsJjwWZhQG2_2udJyaVJSu7yMNnkDqcXa6Ni_h8cHea5qSaBgHQQcnKPXlD7NqsIYGDxz2TQ1IACJQRP.jpeg,,,,Imported from current map inventory
current_map_entity,,four-seasons-austin,four-seasons-austin,Four Seasons Hotel Austin,hotel,hotel,hotel,,Congress,30.26162,-97.74226,"98 San Jacinto Blvd, Austin, TX",hotel,four_seasons,Four Seasons,/pins/circular/brands/four-seasons.svg,False,False,,Luxury hotel on Lady Bird Lake with Congress and event proximity.,Hotel,Congress,Nearby / Hospitality hub,Luxury hotel on Lady Bird Lake with Congress and event proximity.,,Open venues inside | Nearby experiences | Current activations | Walk radius,,Save -> toggle_saved_state | Nearby Perks -> /map?mode=resident&tab=map&filter=perks&near=four-seasons-austin | External maps directions -> google_maps_url | Save -> toggle_saved_state,Hotel,Congress,Nearby / Partner signal,Luxury hotel on Lady Bird Lake with Congress and event proximity.,,Open venues inside | Nearby experiences | Current activations | Walk radius,,Launch Campaign -> /partners/campaigns?entityId=four-seasons-austin | View Reports -> /partner-workspace/overview | View Dashboard -> /partner-workspace | Resident View -> /map?mode=resident&tab=map | Edit Visibility -> open_visibility_controls | View Audience -> open_audience_view | Contact -> /contact,/images/waustin_pool_1779052756806.png,,,,Imported from current map inventory
current_map_entity,,the-shore,the-shore,The Shore,building,property,property,,Rainey,30.2586,-97.7382,"603 Davis St, Austin, TX",property,property,Property,/pins/circular/categories/residential.svg,False,False,,Rainey residential anchor beside Lady Bird Lake.,Property,Rainey,Nearby / Resident ready,Rainey residential anchor beside Lady Bird Lake.,,Nearby perks | Walkable context | Listing details | Events nearby,,View Property -> /map?mode=resident&tab=map&filter=Properties&entityId=the-shore | Contact Property -> open_property_contact_form | Nearby Perks -> /map?mode=resident&tab=map&filter=perks&near=the-shore | External maps directions -> google_maps_url | Show Card -> /map?mode=resident&tab=pass&sourceEntity=the-shore | Save -> toggle_saved_state,Property,Rainey,Nearby / Partner signal,Residential visibility and listing activity near Rainey.,,Nearby perks | Walkable context | Listing details | Events nearby,,View Property -> /map?mode=partner&tab=map&filter=Properties&entityId=the-shore | Contact Property -> open_property_contact_form | Nearby Perks -> /map?mode=resident&tab=map&filter=perks&near=the-shore | External maps directions -> google_maps_url | Show Card -> /map?mode=resident&tab=pass&sourceEntity=the-shore | Save -> toggle_saved_state,/images/austonian_lobby_1779052725341.png,,,,Imported from current map inventory
current_map_entity,,milago,milago,Milago,building,property,property,,Rainey,30.2582,-97.7397,"54 Rainey St, Austin, TX",property,property,Property,/pins/circular/categories/residential.svg,False,False,,Rainey residential building with immediate lake and nightlife access.,Property,Rainey,Nearby / Resident ready,Rainey residential building with immediate lake and nightlife access.,,Nearby perks | Walkable context | Listing details | Events nearby,,View Property -> /map?mode=resident&tab=map&filter=Properties&entityId=milago | Contact Property -> open_property_contact_form | Nearby Perks -> /map?mode=resident&tab=map&filter=perks&near=milago | External maps directions -> google_maps_url | Show Card -> /map?mode=resident&tab=pass&sourceEntity=milago | Save -> toggle_saved_state,Property,Rainey,Nearby / Partner signal,Residential visibility and listing activity near Rainey.,,Nearby perks | Walkable context | Listing details | Events nearby,,View Property -> /map?mode=partner&tab=map&filter=Properties&entityId=milago | Contact Property -> open_property_contact_form | Nearby Perks -> /map?mode=resident&tab=map&filter=perks&near=milago | External maps directions -> google_maps_url | Show Card -> /map?mode=resident&tab=pass&sourceEntity=milago | Save -> toggle_saved_state,/images/motion/5OVOBur8PVysCm5FG_VdOAa7gUhIy1_fvE5kZsu0GsuYm7SNjgBBbVIIlHOziVJCOc7KQxMoc4JfYS5n4KfGSTDmXb6UZcEuaFk9nCXQkN1E78Sv8Pa4g4ktnmgi139nJwRbEqIhH7K1xlwdOC-afhNU2-a7TMFg6QTIvalBTTn4eKA2rlRgzVjsBrBtko0R.jpeg,,,,Imported from current map inventory
