entity_id,image_path,media_role,alt_text,decorative,verification_status
"44-east-ave","/images/residential-content/44-east-ave.jpg","building_exterior","44 East Ave residential building in downtown Austin.","false","verified"
"natiivo-austin","/images/residential-content/natiivo-austin.jpg","building_exterior","Natiivo Austin residential building in downtown Austin.","false","verified"
"the-shore","/images/residential-content/the-shore.jpg","building_exterior","The Shore residential building in downtown Austin.","false","verified"
"the-shore","/images/residential-content/the-shore-hospitality.webp","hotel_group_experience","Hotel Van Zandt hospitality experience near The Shore.","false","verified"
"milago","/images/residential-content/milago.jpg","building_exterior","Milago residential building in downtown Austin.","false","verified"
"70-rainey","/images/residential-content/70-rainey.jpg","building_exterior","70 Rainey residential building in downtown Austin.","false","verified"
"vesper","/images/residential-content/vesper.jpg","building_exterior","Vesper residential building in downtown Austin.","false","verified"
"the-quincy","/images/residential-content/the-quincy.webp","building_exterior","The Quincy residential building in downtown Austin.","false","verified"
"waterline-residences","/images/residential-content/waterline-residences.jpg","building_exterior","Waterline Residences residential building in downtown Austin.","false","verified"
"paseo","/images/residential-content/paseo.webp","building_exterior","Paseo residential building in downtown Austin.","false","verified"
"paseo","/images/map-entities/attached/properties/paseo/daydreamer-lobby.jpeg","building_shared_amenity","Daydreamer coffee bar and resident lobby at Paseo.","false","verified"
"paseo","/images/map-entities/attached/properties/paseo/rooftop-pool.jpeg","building_shared_amenity","Paseo rooftop pool and resident terrace.","false","verified"
"paseo","/images/map-entities/attached/properties/paseo/exterior-sunset.jpeg","building_exterior","Paseo residential tower at sunset in the Rainey District.","false","verified"
"paseo","/images/reports/paseo-deck.jpeg","building_shared_amenity","Paseo resident deck and outdoor gathering space.","false","verified"
"paseo","/images/reports/paseo-gym.webp","building_shared_amenity","Paseo fitness studio for residents.","false","verified"
"700-river","/images/residential-content/700-river.jpg","building_exterior","700 River residential building in downtown Austin.","false","verified"
"700-river","/images/residential-content/700-river-shared-access.jpeg","building_shared_amenity","Shared-access space associated with 700 River.","false","manual_review_required"
"the-independent","/images/residential-content/the-independent.jpg","building_exterior","The Independent residential building in downtown Austin.","false","verified"
"fifth-and-west","/images/residential-content/fifth-and-west.jpeg","building_exterior","Fifth and West residential building in downtown Austin.","false","verified"
"the-austonian","/images/residential-content/the-austonian.jpg","building_exterior","The Austonian residential building in downtown Austin.","false","verified"
"360-condominiums","/images/residential-content/360-condominiums.jpg","building_exterior","360 Condominiums residential building in downtown Austin.","false","verified"
"spring-condominiums","/images/residential-content/spring-condominiums.jpg","building_exterior","Spring Condominiums residential building in downtown Austin.","false","verified"
"austin-proper-residences","/images/residential-content/austin-proper-residences.jpeg","building_exterior","Austin Proper Residences residential building in downtown Austin.","false","verified"
"four-seasons-residences","/images/residential-content/four-seasons-residences.jpg","building_exterior","Four Seasons Residences Austin residential building in downtown Austin.","false","verified"
"the-catherine","/images/residential-content/the-catherine.jpg","building_exterior","The Catherine residential building in downtown Austin.","false","verified"
"northshore","/images/residential-content/northshore.jpg","building_exterior","Northshore residential building in downtown Austin.","false","verified"
"the-monarch","/images/residential-content/the-monarch.avif","building_exterior","The Monarch by Windsor residential building in downtown Austin.","false","verified"
"hotel-van-zandt","/images/map-pins/property/hotel-van-zandt.webp","hotel_exterior","Hotel Van Zandt in Austin's Rainey District.","false","verified"
"hotel-van-zandt","/images/map/entities/hotel-van-zandt-rooftop-pool.jpg","hotel_group_experience","Hotel Van Zandt rooftop pool overlooking downtown Austin.","false","verified"
"brand-hotel-van-zandt","/images/map-pins/property/hotel-van-zandt.webp","hotel_exterior","Hotel Van Zandt in Austin's Rainey District.","false","verified"
"brand-hotel-van-zandt","/images/map/entities/hotel-van-zandt-rooftop-pool.jpg","hotel_group_experience","Hotel Van Zandt rooftop pool overlooking downtown Austin.","false","verified"
"brand-fairmont-austin","/images/map-entities/fairmont-austin/fairmont-austin-skyline.jpg","hotel_exterior","Fairmont Austin hotel and downtown skyline.","false","verified"
"partner-geraldines","/images/map-entities/attached/venues/geraldines-stage.jpeg","restaurant_interior","Geraldine's dining room and live music stage inside Hotel Van Zandt.","false","verified"
"geraldines","/images/map-entities/attached/venues/geraldines-stage.jpeg","restaurant_interior","Geraldine's dining room and live music stage inside Hotel Van Zandt.","false","verified"
"partner-stay-put","/images/map/entities/stay-put-rainey-patio.jpg","nightlife","The Stay Put neon sign on Rainey Street.","false","verified"
"stay-put","/images/map/entities/stay-put-rainey-patio.jpg","nightlife","The Stay Put neon sign on Rainey Street.","false","verified"
"the-stay-put","/images/map/entities/stay-put-rainey-patio.jpg","nightlife","The Stay Put neon sign on Rainey Street.","false","verified"
"partner-bangers","/images/map-entities/attached/venues/bangers.jpg","restaurant_interior","Banger's Sausage House and Beer Garden on Rainey Street.","false","verified"
"bangers","/images/map-entities/attached/venues/bangers.jpg","restaurant_interior","Banger's Sausage House and Beer Garden on Rainey Street.","false","verified"
"aris","/images/map-listing-actual/aris/aris_hero_clean_1600x900.png","restaurant_interior","Aris dining room and bar on West Sixth Street.","false","verified"
"aris","/images/map-listing-actual/aris/aris_listing_card_1600x900.png","restaurant_interior","Aris restaurant dining experience in Austin.","false","verified"
"atx-cocina","/images/map-listing-actual/atx-cocina/atx-cocina_hero_clean_1600x900.png","restaurant_interior","ATX Cocina dining room and bar in downtown Austin.","false","verified"
"atx-cocina","/images/map-listing-actual/atx-cocina/atx-cocina_listing_card_1600x900.png","restaurant_interior","ATX Cocina restaurant experience downtown.","false","verified"
"las-perlas","/images/map-listing-actual/las-perlas/las-perlas_hero_clean_1600x900.png","nightlife","Las Perlas mezcal bar on East Seventh Street.","false","verified"
"las-perlas","/images/map-listing-actual/las-perlas/las-perlas_listing_card_1600x900.png","nightlife","Las Perlas bar and patio in Austin.","false","verified"
"pelon-s","/images/map-listing-actual/pelons/pelons_hero_clean_1600x900.png","restaurant_interior","Pelon's Tex-Mex restaurant and patio on Red River Street.","false","verified"
"pelon-s","/images/map-listing-actual/pelons/pelons_listing_card_1600x900.png","restaurant_interior","Pelon's Tex-Mex dining experience in Austin.","false","verified"
"pelons-tex-mex","/images/map-listing-actual/pelons/pelons_hero_clean_1600x900.png","restaurant_interior","Pelon's Tex-Mex restaurant and patio on Red River Street.","false","verified"
"yeti","/images/map-entities/brand-yeti/yeti-flagship-interior.jpg","retail","YETI's Austin flagship store interior.","false","verified"
