listing_id,building_name,unit,address,neighborhood,property_type,style,walkability,resident_experience,panel_metadata,panel_title,panel_subtitle,summary,included_with_downtown_perks,benefit_matrix,walkable_nearby,coffee,dining,drinks,wellness,groceries,why_it_matters,places_nearby,good_to_know,listings,interest_copy,cta_primary,cta_secondary,cta_listing,cta_tour,cta_contact,image_asset,pin_asset,panel_layout
luxury-presence-360-nueces-st-4201-6230337,360 Condominiums,4201,360 Nueces ST #4201,Second Street,Luxury Residential Condominium,High-Rise,Excellent,Downtown views + Second Street access,Residential · Second Street,360 Condominiums,360 Nueces ST #4201 · Second Street,"Downtown living with walkable access to coffee, dining, and the 2nd Street corridor. 360 Condominiums is a high-rise with downtown views + second street access.",Downtown Perks Lifestyle Access,Walkable living | Neighborhood intelligence | Lifestyle decision support | Actionable nearby guidance,Most errands and daily routines can be done within a short walk.,Merit Coffee | Codependent,Comedor | ATX Cocina,The Roosevelt Room | Garage,CorePower Yoga | Barry's,Whole Foods Market | Trader Joe’s,Second Street is where downtown life becomes effortless: most daily routines can happen within a few blocks.,Lady Bird Lake | Ann & Roy Butler Trail | Austin Central Library | Congress Avenue | Waterloo Greenway,Active neighborhood | Walkable daily routine | Strong dining scene | Easy commute in the core,"$430,000 · 1 bd · 1 ba · 801 sq ft · MLS 6230337 · Active","Interested? Request information to receive availability, showings, building details, and neighborhood insight from Legends.",Explore Neighborhood,View Listing,Schedule Tour,Request Information,Contact Legends Real Estate,/images/map/listings/360-nueces-austin.jpg,legends-logo.png,"OpenTable-style mobile bottom sheet: image, metadata, title, address, summary, actions, matrices."
luxury-presence-360-nueces-st-3506-8744546,360 Condominiums,3506,360 Nueces ST #3506,Second Street,Luxury Residential Condominium,High-Rise,Excellent,Downtown views + Second Street access,Residential · Second Street,360 Condominiums,360 Nueces ST #3506 · Second Street,"Downtown living with walkable access to coffee, dining, and the 2nd Street corridor. 360 Condominiums is a high-rise with downtown views + second street access.",Downtown Perks Lifestyle Access,Walkable living | Neighborhood intelligence | Lifestyle decision support | Actionable nearby guidance,Most errands and daily routines can be done within a short walk.,Merit Coffee | Codependent,Comedor | ATX Cocina,The Roosevelt Room | Garage,CorePower Yoga | Barry's,Whole Foods Market | Trader Joe’s,Second Street is where downtown life becomes effortless: most daily routines can happen within a few blocks.,Lady Bird Lake | Ann & Roy Butler Trail | Austin Central Library | Congress Avenue | Waterloo Greenway,Active neighborhood | Walkable daily routine | Strong dining scene | Easy commute in the core,"$445,000 · 1 bd · 1 ba · 748 sq ft · MLS 8744546 · Active","Interested? Request information to receive availability, showings, building details, and neighborhood insight from Legends.",Explore Neighborhood,View Listing,Schedule Tour,Request Information,Contact Legends Real Estate,/images/map/listings/360-nueces-austin.jpg,legends-logo.png,"OpenTable-style mobile bottom sheet: image, metadata, title, address, summary, actions, matrices."
luxury-presence-360-nueces-st-3106-1883893,360 Condominiums,3106,360 Nueces ST #3106,Second Street,Luxury Residential Condominium,High-Rise,Excellent,Downtown views + Second Street access,Residential · Second Street,360 Condominiums,360 Nueces ST #3106 · Second Street,"Downtown living with walkable access to coffee, dining, and the 2nd Street corridor. 360 Condominiums is a high-rise with downtown views + second street access.",Downtown Perks Lifestyle Access,Walkable living | Neighborhood intelligence | Lifestyle decision support | Actionable nearby guidance,Most errands and daily routines can be done within a short walk.,Merit Coffee | Codependent,Comedor | ATX Cocina,The Roosevelt Room | Garage,CorePower Yoga | Barry's,Whole Foods Market | Trader Joe’s,Second Street is where downtown life becomes effortless: most daily routines can happen within a few blocks.,Lady Bird Lake | Ann & Roy Butler Trail | Austin Central Library | Congress Avenue | Waterloo Greenway,Active neighborhood | Walkable daily routine | Strong dining scene | Easy commute in the core,"$465,000 · 1 bd · 1 ba · 748 sq ft · MLS 1883893 · Active","Interested? Request information to receive availability, showings, building details, and neighborhood insight from Legends.",Explore Neighborhood,View Listing,Schedule Tour,Request Information,Contact Legends Real Estate,/images/map/listings/360-nueces-austin.jpg,legends-logo.png,"OpenTable-style mobile bottom sheet: image, metadata, title, address, summary, actions, matrices."
luxury-presence-222-west-ave-1412-4683683,Seaholm Residences,1412,222 West Ave #1412,Seaholm,Luxury Residential Condominium,High-Rise,Excellent,Seaholm + Whole Foods + lake access,Residential · Seaholm,Seaholm Residences,222 West Ave #1412 · Seaholm,A neighborhood-forward district where urban living meets lake access and everyday convenience. Seaholm Residences is a high-rise with seaholm + whole foods + lake access.,Downtown Perks Lifestyle Access,Walkable living | Neighborhood intelligence | Lifestyle decision support | Actionable nearby guidance,Most errands and daily routines can be done within a short walk.,Merit Coffee | Codependent,Hestia | Qi Austin,Codependent | Small Victory,LOVE Cycling | Barry’s,Whole Foods Market | Trader Joe’s,"Seaholm is one of downtown Austin’s most livable districts, anchored by Whole Foods and waterfront access.",Whole Foods Market | Lady Bird Lake | Ann & Roy Butler Trail | Republic Square | Second Street District,Waterfront access nearby | Grocery anchored neighborhood | Balance of city energy and daily stability,"$575,000 · 1 bd · 1 ba · 821 sq ft · MLS 4683683 · Active","Interested? Request information to receive availability, showings, building details, and neighborhood insight from Legends.",Explore Neighborhood,View Listing,Schedule Tour,Request Information,Contact Legends Real Estate,/images/map/listings/seaholm-residences-222-west.jpg,legends-logo.png,"OpenTable-style mobile bottom sheet: image, metadata, title, address, summary, actions, matrices."
luxury-presence-501-west-ave-1207-3480432,Fifth & West,1207,501 West Ave #1207,Seaholm,Luxury Residential Condominium,High-Rise,Excellent,Luxury high-rise living + Seaholm convenience,Residential · Seaholm,Fifth & West,501 West Ave #1207 · Seaholm,A neighborhood-forward district where urban living meets lake access and everyday convenience. Fifth & West is a high-rise with luxury high-rise living + seaholm convenience.,Downtown Perks Lifestyle Access,Walkable living | Neighborhood intelligence | Lifestyle decision support | Actionable nearby guidance,Most errands and daily routines can be done within a short walk.,Merit Coffee | Codependent,Hestia | Qi Austin,Codependent | Small Victory,LOVE Cycling | Barry’s,Whole Foods Market | Trader Joe’s,"Seaholm is one of downtown Austin’s most livable districts, anchored by Whole Foods and waterfront access.",Whole Foods Market | Lady Bird Lake | Ann & Roy Butler Trail | Republic Square | Second Street District,Waterfront access nearby | Grocery anchored neighborhood | Balance of city energy and daily stability,"$1,699,999 · 2 bd · 3 ba · 1759 sq ft · MLS 3480432 · Active","Interested? Request information to receive availability, showings, building details, and neighborhood insight from Legends.",Explore Neighborhood,View Listing,Schedule Tour,Request Information,Contact Legends Real Estate,/images/map/panels/fifth-and-west-austin.jpg,legends-logo.png,"OpenTable-style mobile bottom sheet: image, metadata, title, address, summary, actions, matrices."
luxury-presence-301-west-ave-4504-1317826,The Independent,4504,301 West Ave #4504,Seaholm,Luxury Residential Condominium,High-Rise,Excellent,Skyline views + walkable daily routine,Residential · Seaholm,The Independent,301 West Ave #4504 · Seaholm,A neighborhood-forward district where urban living meets lake access and everyday convenience. The Independent is a high-rise with skyline views + walkable daily routine.,Downtown Perks Lifestyle Access,Walkable living | Neighborhood intelligence | Lifestyle decision support | Actionable nearby guidance,Most errands and daily routines can be done within a short walk.,Merit Coffee | Codependent,Hestia | Qi Austin,Codependent | Small Victory,LOVE Cycling | Barry’s,Whole Foods Market | Trader Joe’s,"Seaholm is one of downtown Austin’s most livable districts, anchored by Whole Foods and waterfront access.",Whole Foods Market | Lady Bird Lake | Ann & Roy Butler Trail | Republic Square | Second Street District,Waterfront access nearby | Grocery anchored neighborhood | Balance of city energy and daily stability,"$970,000 · 1 bd · 1 ba · 999 sq ft · MLS 1317826 · Active","Interested? Request information to receive availability, showings, building details, and neighborhood insight from Legends.",Explore Neighborhood,View Listing,Schedule Tour,Request Information,Contact Legends Real Estate,/images/map/listings/301-west-ave.jpg,legends-logo.png,"OpenTable-style mobile bottom sheet: image, metadata, title, address, summary, actions, matrices."
luxury-presence-300-bowie-st-1403-4131783,Spring Condominiums,1403,300 Bowie ST #1403,Seaholm,Luxury Residential Condominium,High-Rise,Excellent,Urban lifestyle + Seaholm trails and markets,Residential · Seaholm,Spring Condominiums,300 Bowie ST #1403 · Seaholm,A neighborhood-forward district where urban living meets lake access and everyday convenience. Spring Condominiums is a high-rise with urban lifestyle + seaholm trails and markets.,Downtown Perks Lifestyle Access,Walkable living | Neighborhood intelligence | Lifestyle decision support | Actionable nearby guidance,Most errands and daily routines can be done within a short walk.,Merit Coffee | Codependent,Hestia | Qi Austin,Codependent | Small Victory,LOVE Cycling | Barry’s,Whole Foods Market | Trader Joe’s,"Seaholm is one of downtown Austin’s most livable districts, anchored by Whole Foods and waterfront access.",Whole Foods Market | Lady Bird Lake | Ann & Roy Butler Trail | Republic Square | Second Street District,Waterfront access nearby | Grocery anchored neighborhood | Balance of city energy and daily stability,"$1,195,000 · 2 bd · 3 ba · 1687 sq ft · MLS 4131783 · Active","Interested? Request information to receive availability, showings, building details, and neighborhood insight from Legends.",Explore Neighborhood,View Listing,Schedule Tour,Request Information,Contact Legends Real Estate,/images/legends-listings/3854745b.jpeg,legends-logo.png,"OpenTable-style mobile bottom sheet: image, metadata, title, address, summary, actions, matrices."
luxury-presence-610-davis-st-4301-5357248,The Shore,4301,610 Davis ST #4301,Rainey,Luxury Residential Condominium,High-Rise,Excellent,Waterfront + Rainey nightlife + easy city access,Residential · Rainey,The Shore,610 Davis ST #4301 · Rainey,"Waterfront-oriented downtown living with quick access to nightlife, dining, and the trail system. The Shore is a high-rise with waterfront + rainey nightlife + easy city access.",Downtown Perks Lifestyle Access,Walkable living | Neighborhood intelligence | Lifestyle decision support | Actionable nearby guidance,Most errands and daily routines can be done within a short walk.,Little Brother | Craftwork Coffee,Emmer & Rye | Geraldine’s,Half Step | Craft Pride,The Trail | Nearby fitness studios,Trader Joe’s | Whole Foods Market,"Rainey offers a rare combination: trail-first mornings and social nights, all within one district.",Lady Bird Lake | Ann & Roy Butler Trail | Rainey nightlife corridor | Congress Avenue | Downtown Core,Active nights and weekends | Trail proximity | Walkable dining and music scene | Expect peak evening activity,"$2,425,500 · 3 bd · 3 ba · 1951 sq ft · MLS 5357248 · Active","Interested? Request information to receive availability, showings, building details, and neighborhood insight from Legends.",Explore Neighborhood,View Listing,Schedule Tour,Request Information,Contact Legends Real Estate,/images/map/panels/the-shore-austin.jpg,legends-logo.png,"OpenTable-style mobile bottom sheet: image, metadata, title, address, summary, actions, matrices."
luxury-presence-610-davis-st-5003-1682504,The Shore,5003,610 Davis ST #5003,Rainey,Luxury Residential Condominium,High-Rise,Excellent,Waterfront + Rainey nightlife + easy city access,Residential · Rainey,The Shore,610 Davis ST #5003 · Rainey,"Waterfront-oriented downtown living with quick access to nightlife, dining, and the trail system. The Shore is a high-rise with waterfront + rainey nightlife + easy city access.",Downtown Perks Lifestyle Access,Walkable living | Neighborhood intelligence | Lifestyle decision support | Actionable nearby guidance,Most errands and daily routines can be done within a short walk.,Little Brother | Craftwork Coffee,Emmer & Rye | Geraldine’s,Half Step | Craft Pride,The Trail | Nearby fitness studios,Trader Joe’s | Whole Foods Market,"Rainey offers a rare combination: trail-first mornings and social nights, all within one district.",Lady Bird Lake | Ann & Roy Butler Trail | Rainey nightlife corridor | Congress Avenue | Downtown Core,Active nights and weekends | Trail proximity | Walkable dining and music scene | Expect peak evening activity,"$5,582,000 · 4 bd · 5 ba · 3818 sq ft · MLS 1682504 · Active","Interested? Request information to receive availability, showings, building details, and neighborhood insight from Legends.",Explore Neighborhood,View Listing,Schedule Tour,Request Information,Contact Legends Real Estate,/images/map/panels/the-shore-austin.jpg,legends-logo.png,"OpenTable-style mobile bottom sheet: image, metadata, title, address, summary, actions, matrices."
luxury-presence-202-nueces-st-1405-4043365,Austin Proper Residences,1405,202 Nueces ST #1405,Second Street,Luxury Residential Condominium,Hotel-Branded High-Rise,Excellent,Hotel-branded living + Second Street access,Residential · Second Street,Austin Proper Residences,202 Nueces ST #1405 · Second Street,"Downtown living with walkable access to coffee, dining, and the 2nd Street corridor. Austin Proper Residences is a hotel-branded high-rise with hotel-branded living + second street access.",Downtown Perks Lifestyle Access,Walkable living | Neighborhood intelligence | Lifestyle decision support | Actionable nearby guidance,Most errands and daily routines can be done within a short walk.,Merit Coffee | Codependent,Comedor | ATX Cocina,The Roosevelt Room | Garage,CorePower Yoga | Barry's,Whole Foods Market | Trader Joe’s,Second Street is where downtown life becomes effortless: most daily routines can happen within a few blocks.,Lady Bird Lake | Ann & Roy Butler Trail | Austin Central Library | Congress Avenue | Waterloo Greenway,Active neighborhood | Walkable daily routine | Strong dining scene | Easy commute in the core,"$2,995,000 · 2 bd · 3 ba · 1646 sq ft · MLS 4043365 · Active","Interested? Request information to receive availability, showings, building details, and neighborhood insight from Legends.",Explore Neighborhood,View Listing,Schedule Tour,Request Information,Contact Legends Real Estate,/images/map/listings/202-nueces-austin.jpg,legends-logo.png,"OpenTable-style mobile bottom sheet: image, metadata, title, address, summary, actions, matrices."
