id,building_name,address,neighborhood,property_type,style,walkability,resident_experience,summary,why_it_matters,coffee,dining,drinks,wellness,groceries,nearby_locations,listings,good_to_know,cta_primary,cta_secondary,image_asset,pin_asset,entity_aliases
spring-condominiums,Spring Condominiums,300 Bowie St,Seaholm,Residential Tower,Modern downtown condominium,"Excellent walkability to Seaholm, Whole Foods, Central Library, and Lady Bird Lake.","Everyday downtown living with coffee, groceries, lake access, fitness, and dinner plans close by.","Spring places residents in one of Austin's most useful downtown pockets with strong access to everyday essentials and neighborhood experiences.","The neighborhood becomes part of the amenity. Spring is ideal for resident discovery because daily routines and social plans are already within a short walk.","Manana|Merit Coffee|Jo's Coffee","True Food Kitchen|Sweetgreen|Flower Child|Qi Austin","Wax Myrtle's|Codependent|Garage Bar","CorePower Yoga|Life Time|Barry's","Whole Foods Market|Trader Joe's","Lady Bird Lake|Austin Central Library|Seaholm District|West 6th","222 West Ave #1404|301 West Ave #4808","Rooftop pool|Concierge|Lake access|Whole Foods nearby",View Nearby Perks,Explore Neighborhood,/buildings/spring-condominiums.png,/images/pins/residential-pin.svg,"Spring Condominiums|Spring|300 Bowie|300 Bowie St|300 Bowie ST|300 Bowie ST #1403|luxury-building-spring-condominiums"
the-independent,The Independent,301 West Ave,Seaholm,Residential Tower,Landmark downtown tower,"Excellent access to Seaholm, Shoal Creek, Trader Joe's, and downtown dining.","High-rise living connected to daily errands, lake access, fitness, coffee, and downtown events.","The Independent gives residents a Seaholm anchor with useful places and routines close enough to use every day.","People do not choose a building only because of the unit. The neighborhood around it becomes part of the value.","Jo's Coffee|Merit Coffee|Codependent","True Food Kitchen|Qi Austin|La Condesa","Garage|The Roosevelt Room|Codependent","CorePower Yoga|Life Time|Love Cycling","Trader Joe's|Whole Foods Market","Shoal Creek|Austin Central Library|Seaholm District|Lady Bird Lake","301 West Ave #4808|301 West Ave #3402","Skydeck|Concierge|Trader Joe's nearby|Trail access",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/the-independent.jpeg,/images/pins/residential-pin.svg,"The Independent|Independent|301 West Ave|301 West Ave #4105|301 West Ave #4808"
seaholm-residences,Seaholm Residences,222 West Ave,Seaholm,Residential Tower,Downtown condominium,"Excellent access to Seaholm, Whole Foods, Trader Joe's, and the Central Library.","Everyday downtown living beside groceries, coffee, restaurants, offices, and the lake.","Seaholm Residences sits in a highly useful pocket where errands, dining, and social plans are close together.","The building is strongest when the neighborhood becomes part of the resident routine.","Jo's Coffee|Codependent|Merit Coffee","True Food Kitchen|Flower Child|Qi Austin","Garage|Codependent|The Roosevelt Room","CorePower Yoga|Life Time|Barry's","Trader Joe's|Whole Foods Market","Seaholm District|Central Library|Lady Bird Lake|Market District","222 West Ave #1404","Groceries nearby|Central Library|Coffee nearby|Walkable dining",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/seaholm-residences.jpeg,/images/pins/residential-pin.svg,"Seaholm Residences|222 West Ave|222 West Ave #1404"
5-fifty-five,5 Fifty Five,555 E 5th St,Downtown Core,Residential Tower,Downtown condominium,"Strong walkability to restaurants, hotels, venues, and Convention Center activity.","Downtown Core living close to dining, nightlife, hotel amenities, and event traffic.","5 Fifty Five works as a central downtown base with quick access to food, drinks, shows, and business travel routines.","Its value comes from being close to the everyday and event-driven parts of downtown.","Houndstooth Coffee|Caffe Medici|Starbucks","Eddie V's|Moonshine|Red Ash","The Driskill Bar|Small Victory|The Roosevelt Room","Barry's|CorePower Yoga|Life Time","Royal Blue Grocery|Whole Foods Market","Convention Center|East 6th|Congress Avenue|Red River","555 E 5th St #902","Downtown Core|Hotels nearby|Event access|Nightlife nearby",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/the-austonian.jpeg,/images/pins/residential-pin.svg,"5 Fifty Five|555 E 5th|555 East 5th|Five Fifty Five"
the-catherine,The Catherine,214 Barton Springs Rd,South Shore,Residential Tower,Lakeside apartment tower,"Excellent access to South Shore, Lady Bird Lake, and downtown bridges.","Lakeside living with trail access, pool amenities, dining, and downtown views.","The Catherine connects residents to the lake, South Congress, downtown, and everyday wellness routines.","This building matters because outdoor access is part of daily life, not a weekend-only plan.","Jo's Coffee|Mañana|Starbucks","Terry Black's BBQ|Perla's|Carpenter Hall","P6|Equipment Room|Garage","Lady Bird Lake Trail|CorePower Yoga|SculptHouse","Thom's Market|Whole Foods Market","Long Center|Auditorium Shores|South Congress|Lady Bird Lake","214 Barton Springs Rd #1208","Trail access|Pool amenities|South Shore|Downtown views",View Nearby Perks,Explore Neighborhood,/buildings/catherine.webp,/images/pins/residential-pin.svg,"The Catherine|Catherine|214 Barton Springs"
70-rainey,70 Rainey,70 Rainey St,Rainey,Residential Tower,Luxury residential tower,"Excellent walkability to Rainey dining, music, hotels, and the lake.","Rainey living with food, drinks, lake access, and social plans immediately nearby.","70 Rainey places residents in one of downtown's strongest food, drink, and lake-adjacent routines.","It matters because residents can move from home to dinner, music, and the trail without turning it into a drive.","Little Brother|Cafe 605|Jo's Coffee","Banger's|Emmer & Rye|Geraldine's","Half Step|Lustre Pearl|Lucille","Lady Bird Lake Trail|BATHE|CorePower Yoga","Royal Blue Grocery|Whole Foods Market","Rainey Street|Lady Bird Lake|Hotel Van Zandt|Waller Creek","70 Rainey St #1802","Rainey access|Lake nearby|Nightlife|Hotel dining",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/70-rainey.jpeg,/images/pins/residential-pin.svg,"70 Rainey|70 Rainey St|Rainey 70"
44-east-avenue,44 East Avenue,44 East Ave,Rainey,Residential Tower,Lake-edge residential tower,"Excellent access to Rainey, Lady Bird Lake, and East Downtown.","Lake-edge living near Rainey dining, trail access, and downtown events.","44 East Avenue anchors residents near the lake while keeping restaurants and nightlife close by.","Its strongest advantage is the short distance between home, the trail, dinner, and events.","Little Brother|Cafe 605|Jo's Coffee","Banger's|Emmer & Rye|Geraldine's","Half Step|Lustre Pearl|Lucille","Lady Bird Lake Trail|BATHE|CorePower Yoga","Royal Blue Grocery|Whole Foods Market","Lady Bird Lake|Rainey Street|Convention Center|Waller Creek","44 East Ave #2509","Lake edge|Rainey nearby|Trail access|Downtown views",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/44-east.jpeg,/images/pins/residential-pin.svg,"44 East|44 East Avenue|44 East Ave|44 East Ave #2509"
milago,Milago,54 Rainey St,Rainey,Residential Building,Lake-adjacent condominium,"Excellent access to Rainey and Lady Bird Lake trail routines.","Connected Rainey living for residents who want the trail, bars, and restaurants close by.","Milago is useful because residents can fold the lake, dinner, and neighborhood nightlife into everyday plans.","The building matters when residents want downtown activity without losing trail access.","Little Brother|Cafe 605|Jo's Coffee","Banger's|Geraldine's|Emmer & Rye","Half Step|Lustre Pearl|Lucille","Lady Bird Lake Trail|CorePower Yoga|BATHE","Royal Blue Grocery|Whole Foods Market","Rainey Street|Lady Bird Lake|Hotel Van Zandt|Waller Creek","54 Rainey St #706","Trail access|Rainey food|Nightlife|Lake routines",View Nearby Perks,Explore Neighborhood,/images/map-pins/property/milago.webp,/images/pins/residential-pin.svg,"Milago|54 Rainey|54 Rainey St"
villas-on-rainey,Villas on Rainey,80 Red River St,Rainey,Residential Community,Rainey residential community,"Strong access to Rainey, Red River, the lake, and downtown events.","A residential base near restaurants, nightlife, hotels, and trail access.","Villas on Rainey works for residents who want a quieter home base near active downtown plans.","It matters because nearby experiences can be used spontaneously instead of planned far ahead.","Little Brother|Cafe 605|Jo's Coffee","Banger's|Geraldine's|Emmer & Rye","Half Step|Lustre Pearl|Lucille","Lady Bird Lake Trail|BATHE|CorePower Yoga","Royal Blue Grocery|Whole Foods Market","Rainey Street|Waller Creek|Lady Bird Lake|Convention Center","80 Red River St #210","Rainey access|Lake nearby|Walkable nightlife|Event access",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/70-rainey.jpeg,/images/pins/residential-pin.svg,"Villas on Rainey|80 Red River|80 Red River St"
the-shore,The Shore,603 Davis St,Rainey,Residential Tower,Lakeside condominium,"Excellent access to Rainey, the lake, and Hotel Van Zandt.","Residential living near the trail, Rainey restaurants, hotel dining, and downtown events.","The Shore gives residents a lake-connected Rainey base with useful food, drinks, music, and walking routes nearby.","It matters because the lake and downtown social plans can both be part of the same routine.","Little Brother|Cafe 605|Jo's Coffee","Banger's|Geraldine's|Emmer & Rye","Half Step|Lustre Pearl|Hotel Van Zandt","Lady Bird Lake Trail|BATHE|CorePower Yoga","Royal Blue Grocery|Whole Foods Market","Lady Bird Lake|Rainey Street|Hotel Van Zandt|Waller Creek","603 Davis St #1804","Lake access|Hotel dining|Rainey nearby|Trail routines",View Nearby Perks,Explore Neighborhood,/images/imported/perks/the-shore.jpg,/images/pins/residential-pin.svg,"The Shore|603 Davis|603 Davis St"
