id,name,type,category,partnerType,brand,district,latitude,longitude,address,sourceLayer,currentPinKey,currentPinAsset,recommendedPinKey,recommendedPinAsset,pinStatus,imageSource,currentImage,imageStatus,imageNotes,imageDirection,recommendedPanelCopy,sourceNotes,priority
comedy-mothership,Comedy Mothership,culture,culture,venue,,East Downtown,30.2676,-97.7385,"320 E 6th St, Austin, TX",culture,dining,/pins/circular/categories/dining.svg,art,/pins/circular/categories/culture.svg,Update recommended,entity,/images/motion/5OVOBur8PVysCm5FG_VdOAa7gUhIy1_fvE5kZsu0GsuYm7SNjgBBbVIIlHOziVJCOc7KQxMoc4JfYS5n4KfGSTDmXb6UZcEuaFk9nCXQkN1E78Sv8Pa4g4ktnmgi139nJwRbEqIhH7K1xlwdOC-afhNU2-a7TMFg6QTIvalBTTn4eKA2rlRgzVjsBrBtko0R.jpeg,OK,Image source looks usable from CSV only.,"Use marquee, stage, gallery, or installation imagery. Keep it editorial and downtown-specific.","Comedy Mothership is a culture anchor in East Downtown. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
bangers,Banger's,venue,food,venue,,Rainey,30.2589,-97.7382,"79 Rainey St, Austin, TX",venue,dining,/pins/circular/categories/dining.svg,dining,/pins/circular/categories/dining.svg,OK,entity,/images/partner_dining_patio_1779052819620.png,OK,Image source looks usable from CSV only.,"Use patio, plate, table, or venue atmosphere imagery with resident social energy.","Banger's is a food stop in Rainey. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
lustre-pearl,Lustre Pearl,nightlife,nightlife,venue,,Rainey,30.2584,-97.7388,"94 Rainey St, Austin, TX",nightlife,dining,/pins/circular/categories/dining.svg,nightlife,/pins/circular/categories/nightlife.svg,Update recommended,entity,/images/motion/5OVOBur8PVysCm5FG_VdOAa7gUhIy1_fvE5kZsu0GsuYm7SNjgBBbVIIlHOziVJCOc7KQxMoc4JfYS5n4KfGSTDmXb6UZcEuaFk9nCXQkN1E78Sv8Pa4g4ktnmgi139nJwRbEqIhH7K1xlwdOC-afhNU2-a7TMFg6QTIvalBTTn4eKA2rlRgzVjsBrBtko0R.jpeg,OK,Image source looks usable from CSV only.,"Use evening patio or cocktail imagery with warm light; polished local nightlife, not club-heavy.","Lustre Pearl is a nightlife anchor in Rainey. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
half-step,Half Step,nightlife,nightlife,venue,,Rainey,30.2592,-97.7385,"75 1/2 Rainey St, Austin, TX",nightlife,dining,/pins/circular/categories/dining.svg,nightlife,/pins/circular/categories/nightlife.svg,Update recommended,entity,/images/partner/drop-in-images/inkind-table-spread.jpg,OK,Image source looks usable from CSV only.,"Use evening patio or cocktail imagery with warm light; polished local nightlife, not club-heavy.","Half Step is a nightlife anchor in Rainey. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
the-independent,The Independent,building,property,property,,Seaholm,30.2686,-97.7522,"301 West Ave, Austin, TX",property,property,/pins/circular/categories/residential.svg,property,/pins/circular/categories/residential.svg,OK,entity,/images/independent_residential_1779052707992.png,OK,Image source looks usable from CSV only.,"Use property exterior, amenity, lobby, or lifestyle image tied to the actual building.","The Independent is a residential property in Seaholm. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
44-east-ave,44 East Ave,building,property,property,,Rainey,30.2572,-97.7389,"44 East Ave, Austin, TX",property,property,/pins/circular/categories/residential.svg,property,/pins/circular/categories/residential.svg,OK,entity,/images/austonian_lobby_1779052725341.png,OK,Image source looks usable from CSV only.,"Use property exterior, amenity, lobby, or lifestyle image tied to the actual building.","44 East Ave is a residential property in Rainey. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
hotel-van-zandt,Hotel Van Zandt,hotel,hotel,hotel,,Rainey,30.259966,-97.739141,"605 Davis St, Austin, TX",hotel,hotel,/pins/circular/categories/hotels.svg,hotel,/pins/circular/categories/hotels.svg,OK,entity,/images/hospitality/FVYZlJYG9EOdXp31bh8GIkk3w6mSV8U8I1d9Zqofl--jqIENgWsuqVYVSszwDnFwze8BBSM4tzTLq2Uch3eNsNN7jLRha9DXMuJzwOPIu6IS3i4KPsJjwWZhQG2_2udJyaVJSu7yMNnkDqcXa6Ni_h8cHea5qSaBgHQQcnKPXlD7NqsIYGDxz2TQ1IACJQRP.jpeg,OK,Image source looks usable from CSV only.,"Use official hotel lobby, pool, exterior, or hospitality detail image for that exact property.","Hotel Van Zandt is a hospitality anchor in Rainey. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
four-seasons-austin,Four Seasons Hotel Austin,hotel,hotel,hotel,,Congress,30.26162,-97.74226,"98 San Jacinto Blvd, Austin, TX",hotel,four_seasons,/pins/circular/brands/four-seasons.svg,four_seasons,/pins/circular/brands/four-seasons.svg,OK,entity,/images/waustin_pool_1779052756806.png,Review,possible image mismatch: W Austin image used for Four Seasons,"Use official hotel lobby, pool, exterior, or hospitality detail image for that exact property.","Four Seasons Hotel Austin is a hospitality anchor in Congress. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P1
the-shore,The Shore,building,property,property,,Rainey,30.2586,-97.7382,"603 Davis St, Austin, TX",property,property,/pins/circular/categories/residential.svg,property,/pins/circular/categories/residential.svg,OK,entity,/images/austonian_lobby_1779052725341.png,OK,Image source looks usable from CSV only.,"Use property exterior, amenity, lobby, or lifestyle image tied to the actual building.","The Shore is a residential property in Rainey. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
milago,Milago,building,property,property,,Rainey,30.2582,-97.7397,"54 Rainey St, Austin, TX",property,property,/pins/circular/categories/residential.svg,property,/pins/circular/categories/residential.svg,OK,entity,/images/motion/5OVOBur8PVysCm5FG_VdOAa7gUhIy1_fvE5kZsu0GsuYm7SNjgBBbVIIlHOziVJCOc7KQxMoc4JfYS5n4KfGSTDmXb6UZcEuaFk9nCXQkN1E78Sv8Pa4g4ktnmgi139nJwRbEqIhH7K1xlwdOC-afhNU2-a7TMFg6QTIvalBTTn4eKA2rlRgzVjsBrBtko0R.jpeg,OK,Image source looks usable from CSV only.,"Use property exterior, amenity, lobby, or lifestyle image tied to the actual building.","Milago is a residential property in Rainey. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
